Nom,Prénom,Numéro rue,Rue,Complément,Code postal,Ville,mail personnel,mail professionnel,téléphone personnel,téléphone portable,cotisation,date d’adhésion,statut
PAILLART,Mélanie,45,Route du Chateau d'eau,,45420,Bonny sur Loire,paillmela@yahoo.fr,paillard.melanie@free.fr,,0614632578,oui,05/05/1999,vice présidente
PINOTEAU,Carine,25,Rue de Colmart,,45760,Boigny sur Bionne,carine5@yahoo.fr,portier.carine@gdf.fr,0238759356,0689125632,oui,05/09/1999,présidente
JOUAN,Raymond,32,Rue de Bellevue,,45460,Les Bordes,jouanray2@sfr.fr,jouan.raymond@edf.fr,0238298615,0615986378,oui,15/10/1999,secrétaire
PINOTEAU,Andrée,15,Rue des Clos,,45390,Boësses,pinot_and@yahoo.fr,pinoteau.andree@tuc.fr,0238123214,0692964578,oui,06/12/1999,trésorier
BOUGEOT,Gilles,37,Rue Gambetta,residence les tilleuls,45270,Bellegarde,boug_4@free.fr,bougeot.gilles@orpi.fr,0237921369,0000000000,non,09/01/2000,menbre
MERCIER,Jean-Claude,20,Avenue Madame de Montespan,,45270,Bellegarde,mercierjean@yahoo.fr,mercier.jean-claude@pot.fr,0996123568,0000000000,non,25/06/2001,membre
SICARD,Jean-Michel,99,Rue de Verdun,,45760,Boigny sur Bionne,sicard_mi_mi@gmail.com,sicard.michel@cif.fr,0945892378,0603990456,oui,26/06/2001,membre
LE GAFFRIC,Bernadette,5,Place de l'église,,45390,Boësses,legaffric_ber@gmail.fr,legaffric.bernadette@mil.fr,,0723056085,oui,24/03/2002,membre
DESNOUS,matthieu,22,Avenue Baron Sezeur,,45460,Bonnée,desnou_mat@bouygues.fr,desnous.matthieu@tehno.fr,0218964523,0789641258,oui,15/09/2002,membre
TRUCHON,Daniel,115,Rue Grande,,45000,Orleans,truchon_dan@sfr.fr,truchon.daniel@pic.fr,0945612389,0771233659,oui,28/01/2003,membre
LA CORTE,Josiane,56,route Saint Benoit,,45460,Bonnée,corte_2@gmail.fr,lacorte.josiane@lem.fr,,0745630210,oui,19/12/2003,membre
VANNIER,Anne,51,Rue du 14 Juillet,B1 résidence les Puisseaux,45420,Bonny sur Loire,vannier_4@red.fr,vannier.anne@tif.fr,,0713791685,oui,29/02/2006,membre
GENIPA,Jean,6,Rue de la Gare,,45480,Boisseaux,genipa_5@red.fr,genipa.jean@cut.fr,,0780365092,oui,22/11/2006,membre
RYNDA,Thomas,1,Rue Lavoir,,45270,Bellegarde,rynda6@bouygue.fr,rynda.thomas@ffb.fr,0238969512,0738631256,oui,28/11/2006,membre
LEMOULT,Georges,29,Rue de la Commanderie,A1 residence la Foret,45270,Bellegarde,lemoupos@gmail.com,lemoult.georges@orange.fr,,0723891425,oui,23/06/2007,membre
